date,asset,open,close,high,low,volume,source
2023-03-10,中证全债,224.1,224.1,224.1,224.1,,Archived course bond index series
2023-03-13,中证全债,224.22,224.22,224.22,224.22,,Archived course bond index series
2023-03-14,中证全债,224.25,224.25,224.25,224.25,,Archived course bond index series
2023-03-15,中证全债,224.3,224.3,224.3,224.3,,Archived course bond index series
2023-03-16,中证全债,224.34,224.34,224.34,224.34,,Archived course bond index series
2023-03-17,中证全债,224.49,224.49,224.49,224.49,,Archived course bond index series
2023-03-20,中证全债,224.63,224.63,224.63,224.63,,Archived course bond index series
2023-03-21,中证全债,224.58,224.58,224.58,224.58,,Archived course bond index series
2023-03-22,中证全债,224.71,224.71,224.71,224.71,,Archived course bond index series
2023-03-23,中证全债,224.76,224.76,224.76,224.76,,Archived course bond index series
2023-03-24,中证全债,224.7,224.7,224.7,224.7,,Archived course bond index series
2023-06-06,中证全债,226.42,226.42,226.42,226.42,,Archived course bond index series
2023-06-07,中证全债,226.48,226.48,226.48,226.48,,Archived course bond index series
2023-06-08,中证全债,226.52,226.52,226.52,226.52,,Archived course bond index series
2023-06-09,中证全债,226.55,226.55,226.55,226.55,,Archived course bond index series
2023-06-12,中证全债,226.61,226.61,226.61,226.61,,Archived course bond index series
2023-06-13,中证全债,226.82,226.82,226.82,226.82,,Archived course bond index series
2023-06-14,中证全债,226.9,226.9,226.9,226.9,,Archived course bond index series
2023-06-15,中证全债,226.94,226.94,226.94,226.94,,Archived course bond index series
2023-06-16,中证全债,226.88,226.88,226.88,226.88,,Archived course bond index series
2023-06-19,中证全债,226.96,226.96,226.96,226.96,,Archived course bond index series
2023-06-20,中证全债,227.02,227.02,227.02,227.02,,Archived course bond index series
2023-09-07,中证全债,229.18,229.18,229.18,229.18,,Archived course bond index series
2023-09-08,中证全债,229.2,229.2,229.2,229.2,,Archived course bond index series
2023-09-11,中证全债,229.17,229.17,229.17,229.17,,Archived course bond index series
2023-09-12,中证全债,229.24,229.24,229.24,229.24,,Archived course bond index series
2023-09-13,中证全债,229.28,229.28,229.28,229.28,,Archived course bond index series
2023-09-14,中证全债,229.42,229.42,229.42,229.42,,Archived course bond index series
2023-09-15,中证全债,229.56,229.56,229.56,229.56,,Archived course bond index series
2023-09-18,中证全债,229.61,229.61,229.61,229.61,,Archived course bond index series
2023-09-19,中证全债,229.57,229.57,229.57,229.57,,Archived course bond index series
2023-09-20,中证全债,229.63,229.63,229.63,229.63,,Archived course bond index series
2023-09-21,中证全债,229.66,229.66,229.66,229.66,,Archived course bond index series
2024-01-17,中证全债,232.65,232.65,232.65,232.65,,Archived course bond index series
2024-01-18,中证全债,232.72,232.72,232.72,232.72,,Archived course bond index series
2024-01-19,中证全债,232.81,232.81,232.81,232.81,,Archived course bond index series
2024-01-22,中证全债,232.88,232.88,232.88,232.88,,Archived course bond index series
2024-01-23,中证全债,232.91,232.91,232.91,232.91,,Archived course bond index series
2024-01-24,中证全债,233.24,233.24,233.24,233.24,,Archived course bond index series
